Value,Mandatory QA flags,Data quality flag,Cloud/Ocean Flag,Iterations,Atmospheric Opacity,MMD,Emissivity accuracy,LST accuracy
15,"Pixel not produced due to missing/bad data, user should check data quality flag bits",Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),>2 K (Poor performance)
16386,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16390,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16399,"Pixel not produced due to missing/bad data, user should check data quality flag bits",Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16450,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16454,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16514,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16518,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16578,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16582,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
16770,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Nominal,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),>0.02 (Poor performance),1.5 - 2 K (Marginal performance)
